DOE No., Pt_in [Pa], Pt_out [Pa], del_Pt [Pa], Head[m], VolumeFlowRate, RPM, Torque [N m], Eff [%]
606, -0.181371033191681, 72655.3515625, 72655.53125, 7.4088020324707, 22.500524520874, 1332, -3.55381917953491, 91.6074142456055
607, -2.90819644927979, 72966.9921875, 72969.8984375, 7.44085836410522, 33.8005561828613, 1532, -4.95272302627563, 86.2250900268555
608, -0.634795367717743, 34926.49609375, 34927.1328125, 3.56157612800598, 40.3999366760254, 1290, -4.07267045974731, 71.2432098388672
609, -1.5386506319046, 53644.625, 53646.1640625, 5.47038602828979, 25.9043598175049, 1691.00012207031, -2.74791502952576, 79.3292770385742
610, -0.141604483127594, 102191.5625, 102191.703125, 10.4206533432007, 20.9996223449707, 1780, -3.49029135704041, 91.6250686645508
611, -2.91605448722839, 95610.65625, 95613.5703125, 9.74987030029297, 30.5988140106201, 1749.00012207031, -5.04051923751831, 88.0294418334961
612, 0.0520617440342903, 89376.21875, 89376.1640625, 9.11383152008057, 37.8998489379883, 1085, -8.79778861999512, 94.1292877197266
613, 0.0458526574075222, 78317.421875, 78317.375, 7.98614931106567, 25.3998584747314, 1292, -4.43553113937378, 92.0767822265625
614, -1.36736536026001, 44676.91796875, 44678.28515625, 4.55591678619385, 21.2011699676514, 1164, -2.47734475135803, 87.1336135864258
615, -1.23844575881958, 66849.296875, 66850.5390625, 6.81685781478882, 33.7005195617676, 1176, -5.67371702194214, 89.5643997192383
616, -0.300092816352844, 15575.74609375, 15576.0458984375, 1.58831453323364, 22.1001491546631, 1481.00012207031, -1.12753236293793, 54.6810913085938
617, 0.357937514781952, 19859.478515625, 19859.12109375, 2.025066614151, 20.1003494262695, 1007, -1.37361407279968, 76.5487899780273
618, 0.474159955978394, 23694.427734375, 23693.953125, 2.41611075401306, 17.1001377105713, 1216, -1.14433741569519, 77.2357406616211
619, 0.179551154375076, 27968.3984375, 27968.21875, 2.85196447372437, 25.4007701873779, 1414.99987792969, -1.92369723320007, 69.2288970947266
620, -2.01277017593384, 23466.490234375, 23468.50390625, 2.39312124252319, 42.7999572753906, 1440, -3.28970956802368, 56.2441749572754
621, 1.73419630527496, 96826.578125, 96824.84375, 9.87338542938232, 45.1999359130859, 1011.99993896484, -12.168909072876, 94.2673645019531
622, 5.01326894760132, 111680.5625, 111675.546875, 11.3877363204956, 24.5999603271484, 1093, -6.89567375183105, 96.6861953735352
623, 0.00311457831412554, 45050.51171875, 45050.5078125, 4.59387302398682, 26.0999965667725, 1693.99987792969, -2.41608309745789, 76.2050476074219
624, 0.482341319322586, 38151.65234375, 38151.171875, 3.89033675193787, 21.1009006500244, 1600, -1.72981286048889, 77.1540374755859
625, -0.579872965812683, 77204.734375, 77205.3125, 7.87275075912476, 16.0004920959473, 1692.00012207031, -2.13183569908142, 90.8437957763672
626, -0.693306028842926, 33554.390625, 33555.08203125, 3.42166590690613, 40.8006744384766, 1736, -3.5208740234375, 59.4147491455078
627, -0.722943842411041, 36897.36328125, 36898.0859375, 3.76255750656128, 14.3004121780396, 1135, -1.39364886283875, 88.4854888916016
628, 2.20285034179688, 97990.1484375, 97987.9453125, 9.99198913574219, 29.199914932251, 1180, -6.87876462936401, 93.5041046142578
629, 0.881808519363403, 90825.265625, 90824.3828125, 9.26150894165039, 35.799991607666, 1144, -8.00471019744873, 94.185188293457
630, 0.286376923322678, 93852.765625, 93852.4765625, 9.57028865814209, 32.0983924865723, 1302, -6.62298583984375, 92.6687088012695
631, 0.52285897731781, 74573.671875, 74573.1484375, 7.60434436798096, 28.4998683929443, 1123, -5.40766429901123, 92.8335037231445
632, 0.89583945274353, 13883.0087890625, 13882.11328125, 1.41558158397675, 26.0999546051025, 1067, -1.52366018295288, 59.1169013977051
633, 0.0521445758640766, 21458.423828125, 21458.37109375, 2.18814492225647, 26.3000106811523, 1274.00012207031, -1.81884491443634, 64.6035614013672
634, -0.494214236736298, 39906.15234375, 39906.6484375, 4.06934547424316, 14.6011695861816, 1479, -1.22974503040314, 84.980354309082
635, -2.47684216499329, 71261.1328125, 71263.609375, 7.26686573028564, 33.8998908996582, 1386, -5.32555294036865, 86.8174514770508
636, -1.44250547885895, 50468.265625, 50469.70703125, 5.14647769927979, 34.3964385986328, 1259, -4.38344097137451, 83.4395980834961
637, -2.96187591552734, 74080.5390625, 74083.5, 7.55441427230835, 25.3062591552734, 1792, -3.23722672462463, 85.7249450683594
638, -1.80066633224487, 70111.90625, 70113.703125, 7.14960765838623, 38.0004806518555, 1204, -6.58786487579346, 89.1024627685547
639, 3.87241172790527, 109107.5390625, 109103.6640625, 11.1254768371582, 24.2999458312988, 1270, -5.94069576263428, 93.2121353149414
640, 0.862617373466492, 96087.4140625, 96086.5546875, 9.7981014251709, 25.301794052124, 1447, -4.8018913269043, 92.8115234375
641, -3.158362865448, 95838.03125, 95841.1875, 9.77308082580566, 45.3998031616211, 1506.99987792969, -8.79071998596191, 87.123908996582
642, -2.94766354560852, 95889.15625, 95892.1015625, 9.77827262878418, 29.8956871032715, 1776, -4.86092567443848, 88.0842590332031
643, -0.915176451206207, 40325.96875, 40326.8828125, 4.1121973991394, 40.9999580383301, 1473, -4.25068855285645, 70.046257019043
644, 0.224493771791458, 82007.7890625, 82007.5625, 8.3624439239502, 19.5001678466797, 1504, -3.06167459487915, 92.1200637817383
645, 0.544545352458954, 67463.7421875, 67463.1953125, 6.87933111190796, 19.7000885009766, 1203, -3.16016578674316, 92.7317581176758
646, -0.443684965372086, 31433.1171875, 31433.560546875, 3.20533108711243, 36.3999519348145, 1052, -3.71059155464172, 77.7507095336914
647, 0.521204769611359, 86331.5390625, 86331.015625, 8.80331325531006, 31.000431060791, 1212, -6.30186653137207, 92.9462051391602
648, -1.27997028827667, 81177.21875, 81178.5, 8.27790260314941, 20.903226852417, 1655, -3.02425646781921, 89.930419921875
649, -0.938043713569641, 106903.7734375, 106904.7109375, 10.9012460708618, 27.9992389678955, 1708, -5.1120285987854, 90.934944152832
650, -1.96275162696838, 41135.90625, 41137.8671875, 4.19489479064941, 43.9999923706055, 1154, -5.31142377853394, 78.3333129882813
651, 0.251637905836105, 35579.9921875, 35579.7421875, 3.62812376022339, 24.1010913848877, 1534, -1.98916339874268, 74.5439682006836
652, 0.0358085334300995, 30397.546875, 30397.51171875, 3.0996835231781, 26.0005283355713, 1644.00012207031, -1.94934046268463, 65.4183349609375
653, -1.08950281143188, 85281.5546875, 85282.640625, 8.69640922546387, 31.1996688842773, 1409.00012207031, -5.53942155838013, 90.4282455444336
654, -2.83805632591248, 65812.265625, 65815.1015625, 6.71127223968506, 40.6039390563965, 1506, -5.66638278961182, 83.0676040649414
655, -4.12664031982422, 92818.0859375, 92822.2109375, 9.46523094177246, 46.8003845214844, 1627.99987792969, -8.31123447418213, 85.1628570556641
656, -2.61866807937622, 72064.2109375, 72066.828125, 7.34877109527588, 23.4017276763916, 1764, -2.95349597930908, 85.8652191162109
657, -3.05284929275513, 72176.578125, 72179.6328125, 7.36027383804321, 36.7982788085938, 1501, -5.54265022277832, 84.6862411499023
658, -2.32636308670044, 79041.2421875, 79043.5703125, 8.06020069122314, 33.6987571716309, 1444, -5.54499244689941, 88.2431869506836
659, -0.819653928279877, 15643.3076171875, 15644.126953125, 1.59525692462921, 43.8001441955566, 1321, -2.42543745040894, 56.728702545166
660, -1.15213918685913, 47986.125, 47987.27734375, 4.89334011077881, 26.69997215271, 1674, -2.61258316040039, 77.7105941772461
661, -0.165009424090385, 84565.9921875, 84566.15625, 8.62334728240967, 25.9992752075195, 1397, -4.55644035339355, 91.6230239868164
662, 0.161270305514336, 73334.09375, 73333.9296875, 7.47797918319702, 23.2996730804443, 1244, -3.93910360336304, 92.4923629760742
663, -1.28511393070221, 45380.1484375, 45381.43359375, 4.62761831283569, 26.2057476043701, 1062, -3.38365793228149, 87.7874984741211
664, 0.0920005664229393, 62892.9921875, 62892.8984375, 6.41329050064087, 20.8996410369873, 1208, -3.14527058601379, 91.7665328979492
665, 0.539250373840332, 92685.09375, 92684.5546875, 9.45119380950928, 20.8006591796875, 1566.99987792969, -3.53019833564758, 92.4453887939453
666, -3.16138815879822, 96909.421875, 96912.5859375, 9.88233280181885, 35.4970703125, 1670.99987792969, -6.23272848129272, 87.6167144775391
667, -0.106731131672859, 22753.3046875, 22753.412109375, 2.32020211219788, 31.6999988555908, 1390, -2.28641557693481, 60.2011337280273
668, -1.07083380222321, 47902.4296875, 47903.5, 4.8847975730896, 24.700626373291, 1076, -3.28447532653809, 88.8107986450195
669, -1.4716991186142, 76387.296875, 76388.765625, 7.78948593139648, 35.7975196838379, 1264, -6.39097452163696, 89.7919006347656
670, -0.197211265563965, 77741.2265625, 77741.421875, 7.92741870880127, 30.1992721557617, 1225, -5.54374694824219, 91.701904296875
671, 2.41913557052612, 74078.5, 74076.078125, 7.55365753173828, 23.4999656677246, 1059, -4.6658501625061, 93.4517288208008
672, 1.8803882598877, 59260.7578125, 59258.87890625, 6.04272365570068, 16.8000144958496, 1044, -2.71131348609924, 93.2935791015625
673, 0.154247537255287, 25975.787109375, 25975.6328125, 2.64877724647522, 22.2999687194824, 1049, -1.83747589588165, 79.7153778076172
674, -1.4201465845108, 50613.82421875, 50615.24609375, 5.16131830215454, 38.5999717712402, 1530.00012207031, -4.4267144203186, 76.5181121826172
675, -0.197098031640053, 40374.18359375, 40374.37890625, 4.11704063415527, 19.3997554779053, 1556, -1.68187737464905, 79.3902282714844
676, -2.82767796516418, 61926.30078125, 61929.12890625, 6.31501340866089, 37.9011077880859, 1631.00012207031, -4.77828407287598, 79.889518737793
677, -1.09016311168671, 77512.0390625, 77513.1328125, 7.90413951873779, 45.2996597290039, 1104, -9.33732128143311, 90.3540725708008
678, 0.421074837446213, 90304.8515625, 90304.4296875, 9.20848846435547, 16.90016746521, 1709, -2.57058763504028, 92.1498184204102
679, -1.0814288854599, 64085.421875, 64086.50390625, 6.53500461578369, 23.8958911895752, 1281, -3.52870774269104, 89.8656768798828
680, -3.01310515403748, 76809.9609375, 76812.9765625, 7.83274364471436, 31.6004123687744, 1636.99987792969, -4.57890653610229, 85.8985443115234
681, -2.04387426376343, 57468.26953125, 57470.3125, 5.86034059524536, 40.599048614502, 1077, -6.59329748153687, 87.1585388183594
682, -2.41639971733093, 54651.91796875, 54654.3359375, 5.57319116592407, 38.2002067565918, 1519.99987792969, -4.6633186340332, 78.1304931640625
683, -2.64338517189026, 60706.8046875, 60709.44921875, 6.19064092636108, 42.6059036254883, 1411.00012207031, -5.99114418029785, 81.1630096435547
684, 4.92592525482178, 102641.7578125, 102636.828125, 10.46604347229, 17.399959564209, 1002, -4.92839956283569, 95.9282913208008
685, 0.478632211685181, 19613.34765625, 19612.869140625, 1.99995601177216, 31.6999950408936, 1356.99987792969, -2.10886931419373, 57.6288108825684
686, -2.07182335853577, 54784.859375, 54786.9296875, 5.58671188354492, 22.6001796722412, 1492, -2.58355045318604, 85.2063446044922
687, -0.334426760673523, 35439.8359375, 35440.171875, 3.6138916015625, 32.400821685791, 1521.99987792969, -2.89628601074219, 69.0978622436523
688, -1.20517194271088, 41449.6484375, 41450.85546875, 4.22681093215942, 42.4000663757324, 1676, -4.26300811767578, 65.2497253417969
689, 0.028354799374938, 72149.3828125, 72149.3515625, 7.35718584060669, 24.799768447876, 1110, -4.58378458023071, 93.282844543457
690, -0.630952537059784, 17159.77734375, 17160.408203125, 1.74987459182739, 38.2000007629395, 1470.00012207031, -2.12768959999084, 55.5948066711426
691, -2.51061415672302, 61317.8125, 61320.32421875, 6.25293254852295, 26.4015121459961, 1545, -3.28861355781555, 84.5202560424805
692, -0.942112028598785, 33448.46875, 33449.41015625, 3.41089034080505, 45.1017379760742, 1626.99987792969, -4.11160659790039, 59.8207015991211
693, -0.492585629224777, 77923.6015625, 77924.09375, 7.94604587554932, 29.4002227783203, 1275.99987792969, -5.21616744995117, 91.3038482666016
694, 0.514190852642059, 23755.884765625, 23755.37109375, 2.4223735332489, 25.8999671936035, 1630.00012207031, -1.69079852104187, 59.2175483703613
695, 2.98365664482117, 87511.5625, 87508.578125, 8.92339134216309, 24.3999519348145, 1036, -5.82065296173096, 93.9240875244141
696, 0.441833525896072, 86239.53125, 86239.0859375, 8.79393863677979, 32.900318145752, 1194, -6.7846155166626, 92.9059524536133
697, -1.62054193019867, 48817.05859375, 48818.6796875, 4.97811985015869, 42.3989791870117, 1087, -6.00554370880127, 84.1062850952148
698, -1.31743979454041, 22436.9140625, 22438.232421875, 2.28806281089783, 39.0999946594238, 1591, -2.75907731056213, 53.0151710510254
699, 0.33002832531929, 27113.1640625, 27112.833984375, 2.76473951339722, 20.0999622344971, 1178, -1.55970418453217, 78.6776657104492
700, -1.32819211483002, 102228.6953125, 102230.0234375, 10.424560546875, 28.5992679595947, 1695, -5.06397342681885, 90.3526992797852
701, -0.0807726457715034, 70277.78125, 70277.859375, 7.16634702682495, 29.4026641845703, 1129, -5.27832078933716, 91.9780807495117
702, -0.570326805114746, 32228.537109375, 32229.107421875, 3.28645420074463, 37.8013496398926, 1463.99987792969, -3.39362764358521, 65.0457916259766
703, -0.604069709777832, 74579.421875, 74580.0234375, 7.60504579544067, 26.6999683380127, 1316, -4.41623735427856, 90.8853378295898
704, 0.159513100981712, 49029.6015625, 49029.44140625, 4.99961137771606, 14.2010507583618, 1161, -1.73106694221497, 91.8967590332031
705, -1.67789232730865, 44003.203125, 44004.8828125, 4.48724889755249, 32.8996086120605, 1256, -3.80019807815552, 80.4571380615234
706, -2.2690122127533, 65008.7265625, 65010.99609375, 6.62927627563477, 20.2025852203369, 1792, -2.28730511665344, 84.9963989257813
707, -0.689954102039337, 18701.61328125, 18702.302734375, 1.90710401535034, 30.6004314422607, 1459, -1.88791728019714, 55.1128997802734
708, -3.23275279998779, 102330.46875, 102333.703125, 10.4351329803467, 35.1984367370605, 1785, -6.10895156860352, 87.6205596923828
709, -2.27119183540344, 57774.0234375, 57776.29296875, 5.89154195785522, 46.4969825744629, 1213.00012207031, -7.03427314758301, 83.5147705078125
710, 1.41207933425903, 81512.1953125, 81510.78125, 8.31178665161133, 23.8999671936035, 1180, -4.65553855895996, 94.0652694702148
711, 5.57949018478394, 109413.828125, 109408.25, 11.1565361022949, 17.1998310089111, 1140, -4.53017377853394, 96.6548004150391
712, -1.14995157718658, 16489.02734375, 16490.177734375, 1.68153011798859, 43.5999794006348, 1097, -3.12807726860046, 55.5771636962891
713, -1.40462589263916, 44406.94140625, 44408.34765625, 4.52839088439941, 30.3953819274902, 1289, -3.42435908317566, 81.1164474487305
714, -0.797580063343048, 103032.6953125, 103033.4921875, 10.5064916610718, 44.3994483947754, 1327, -10.0031938552856, 91.4145278930664
715, -2.55067491531372, 66802.9921875, 66805.5390625, 6.81226873397827, 35.3980102539063, 1388, -5.2256498336792, 86.4829330444336
716, -0.387031942605972, 24492.62109375, 24493.0078125, 2.4975917339325, 42.6004028320313, 1383, -3.43326854705811, 58.2900924682617
717, -1.00788938999176, 39769.1640625, 39770.171875, 4.05542898178101, 43.8999633789063, 1162, -5.13999557495117, 77.5392608642578
718, -1.11667907238007, 78183.84375, 78184.9609375, 7.97264671325684, 17.9027481079102, 1698, -2.42523097991943, 90.1614761352539
719, -0.0730115622282028, 99190.4921875, 99190.5625, 10.1146221160889, 22.5997123718262, 1664, -3.89084720611572, 91.8426971435547
720, -1.76615285873413, 56857.390625, 56859.15625, 5.79801988601685, 23.3974952697754, 1318, -3.05335998535156, 87.6890182495117
721, -1.07919979095459, 35411.796875, 35412.875, 3.61110806465149, 46.5999984741211, 1022, -5.49879598617554, 77.8928298950195
722, 2.51938796043396, 74885.8046875, 74883.2890625, 7.63597011566162, 15.4999675750732, 1130, -2.9089617729187, 93.6630096435547
723, -2.22948336601257, 56290.28125, 56292.51171875, 5.74023866653442, 36.3054351806641, 1464.99987792969, -4.60574150085449, 80.3441009521484
724, -2.13040065765381, 78783.28125, 78785.4140625, 8.03387641906738, 33.7035942077637, 1406.99987792969, -5.66215515136719, 88.4127807617188
725, 0.628417134284973, 91927.59375, 91926.96875, 9.37394142150879, 15.7998809814453, 1757, -2.37690925598145, 92.2531585693359
726, -3.52867460250854, 72962.3515625, 72965.8828125, 7.44044923782349, 46.7042465209961, 1716, -6.70436954498291, 78.5723648071289
727, -0.776811182498932, 20363.0625, 20363.83984375, 2.07653379440308, 33.4003982543945, 1391.99987792969, -2.28299331665039, 56.7722854614258
728, -1.52077293395996, 44025.05078125, 44026.5703125, 4.48946046829224, 32.8999671936035, 1394, -3.52499675750732, 78.1911697387695
729, -3.36235737800598, 88908.7421875, 88912.1015625, 9.0665111541748, 33.0993232727051, 1777, -5.12344217300415, 85.7431869506836
730, 0.148246422410011, 93162.15625, 93162.0078125, 9.49988079071045, 16.6996593475342, 1646.00012207031, -2.69573473930359, 93.0054397583008
731, -3.49840068817139, 69248.015625, 69251.515625, 7.0616888999939, 44.0013961791992, 1662, -6.18645429611206, 78.6125411987305
732, 0.743386685848236, 98311.515625, 98310.7734375, 10.0249090194702, 18.8004951477051, 1703.00012207031, -3.11364936828613, 92.4602127075195
733, -2.59172391891479, 79771.1484375, 79773.7421875, 8.13465785980225, 36.5100746154785, 1457, -6.0626916885376, 87.4614105224609
734, -0.747174024581909, 22546.001953125, 22546.75, 2.29912853240967, 28.7000293731689, 1779, -1.75577211380005, 54.9529571533203
735, -1.71107029914856, 81735.5703125, 81737.28125, 8.33488273620605, 43.7975006103516, 1233, -8.6030216217041, 89.520866394043
736, 0.776175856590271, 23566.568359375, 23565.79296875, 2.40304207801819, 14.8013257980347, 1064, -1.04824542999268, 82.9558410644531
737, 0.0939086973667145, 47144.1328125, 47144.0390625, 4.80735397338867, 16.9001026153564, 1026.99987792969, -2.23404026031494, 92.1135635375977
738, -1.26618278026581, 43954.8203125, 43956.0859375, 4.48227310180664, 42.9999694824219, 1765, -4.37896251678467, 64.8694305419922
739, -0.443542391061783, 34243, 34243.4453125, 3.49185943603516, 14.7019052505493, 1147, -1.33836960792542, 86.9922256469727
740, -1.23759341239929, 83522.0078125, 83523.2421875, 8.51700019836426, 21.0990867614746, 1661, -3.12111139297485, 90.1697692871094
741, 2.27169513702393, 103802.5, 103800.2265625, 10.5846767425537, 18.0999927520752, 1575.00012207031, -3.37994313240051, 93.6171951293945
742, -1.80289113521576, 56937.59765625, 56939.40234375, 5.80620288848877, 21.7024402618408, 1412.00012207031, -2.67358660697937, 86.8283081054688
743, -2.33939290046692, 73144.3046875, 73146.640625, 7.45888137817383, 33.7955360412598, 1684.99987792969, -4.64152431488037, 83.8420867919922
744, -0.54856812953949, 74042.984375, 74043.53125, 7.55033874511719, 23.0015296936035, 1382, -3.59063720703125, 91.0401916503906
745, 2.23532462120056, 99775.7734375, 99773.5390625, 10.1740694046021, 19.7999668121338, 1351.00012207031, -4.17037200927734, 93.0076217651367
746, -1.56835567951202, 53343.74609375, 53345.3125, 5.43970775604248, 21.8062515258789, 1320.00012207031, -2.67062664031982, 87.5304260253906
747, -2.73851490020752, 55149.10546875, 55151.84375, 5.62392282485962, 42.9000968933105, 1516, -5.35502481460571, 77.3083572387695
748, -0.23605814576149, 84296.671875, 84296.90625, 8.59589195251465, 27.7990112304688, 1358.99987792969, -4.9939489364624, 91.5896301269531
749, -2.77926278114319, 62081.4921875, 62084.26953125, 6.33083343505859, 43.9981307983398, 1247, -6.91823577880859, 83.9890823364258
750, 0.322400867938995, 27967.328125, 27967.005859375, 2.85184073448181, 23.0005626678467, 1502, -1.65578150749207, 68.60888671875
751, 0.778102397918701, 28649.5625, 28648.78515625, 2.92136287689209, 16.9999771118164, 1762.00012207031, -1.07216787338257, 68.3840255737305
752, -1.20194554328918, 67380.9921875, 67382.1953125, 6.87107133865356, 35.6998176574707, 1120, -6.33028507232666, 89.9992141723633
753, 0.586521625518799, 80128.3046875, 80127.71875, 8.17075347900391, 32.3000946044922, 1053, -6.9253101348877, 94.142951965332
754, -0.956691265106201, 39793.4140625, 39794.37109375, 4.05789661407471, 42.1999435424805, 1403.99987792969, -4.46593284606934, 71.0432891845703
755, -2.50159811973572, 68409.328125, 68411.828125, 6.97606468200684, 40.894775390625, 1531, -5.91390991210938, 81.9630355834961
756, 4.93671751022339, 109801.3671875, 109796.4296875, 11.1961193084717, 26.4999465942383, 1036, -7.69386386871338, 96.8273010253906
757, -1.45794141292572, 104353.1875, 104354.6484375, 10.6412124633789, 29.2987689971924, 1700, -5.2812557220459, 90.3324737548828
758, -0.588080644607544, 71859.1640625, 71859.75, 7.32765483856201, 28.000301361084, 1224, -4.77879524230957, 91.2467575073242
759, -1.86636281013489, 93298.1796875, 93300.046875, 9.51395702362061, 27.3994598388672, 1681.99987792969, -4.51649236679077, 89.2617721557617
760, -3.1321439743042, 62923.359375, 62926.4921875, 6.4167160987854, 40.1008720397949, 1605, -5.28041458129883, 78.9792861938477
761, 0.0690381899476051, 19649.78125, 19649.712890625, 2.00371289253235, 34.9999694824219, 1238, -2.5013632774353, 58.9108581542969
762, 1.28162384033203, 12919.029296875, 12917.748046875, 1.31724369525909, 24.0001811981201, 1098, -1.29895710945129, 57.6597862243652
763, -3.19274258613586, 76241.5625, 76244.7578125, 7.77480125427246, 30.9025478363037, 1744.99987792969, -4.22701215744019, 84.7313690185547
764, -1.06033575534821, 100472.828125, 100473.890625, 10.2454853057861, 31.1005630493164, 1567.99987792969, -5.8105936050415, 90.9753570556641
765, -1.46005535125732, 41204.30859375, 41205.76953125, 4.20181894302368, 34.0939865112305, 1212, -3.83523201942444, 80.1697311401367
766, -1.83645105361938, 39927.4921875, 39929.328125, 4.07165813446045, 43.3996124267578, 1023, -5.58518409729004, 80.4514007568359
